postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
648,US-PA-MDT,2,0,2,0,0,0
650,US-PA-MDT,2,2,0,0,0,0
651,US-PA-MDT,4,3,0,1,0,1
652,US-PA-MDT,4,2,0,2,0,1
653,US-PA-MDT,1,0,1,0,0,0
654,US-PA-MDT,1,1,0,0,0,0
655,US-PA-MDT,1,0,1,0,0,0
656,US-PA-MDT,1,0,0,1,0,1
657,US-PA-MDT,2,0,2,0,0,0
658,US-PA-MDT,9,0,9,0,0,0
660,US-PA-MDT,7,0,7,0,0,0
661,US-PA-MDT,2,0,2,0,0,0
662,US-PA-MDT,16,0,14,2,0,2
664,US-PA-MDT,1,0,1,0,0,0
666,US-PA-MDT,4,0,4,0,0,0
667,US-PA-MDT,1,0,1,0,0,0
670,US-PA-MDT,1,0,1,0,0,0
672,US-PA-MDT,10,0,10,0,0,0
680,US-PA-MDT,3,2,1,0,0,0
681,US-PA-MDT,25,21,2,2,0,0
683,US-PA-MDT,1,0,0,1,0,0
685,US-PA-MDT,9,8,1,0,0,0
688,US-PA-MDT,1,0,1,0,0,0
700,US-PA-MDT,7,0,6,1,0,0
701,US-PA-MDT,8,0,8,0,0,0
703,US-PA-MDT,2,0,2,0,0,0
704,US-PA-MDT,5,0,5,0,0,0
705,US-PA-MDT,8,0,8,0,0,0
706,US-PA-MDT,3,1,2,0,0,0
707,US-PA-MDT,4,0,4,0,0,0
708,US-PA-MDT,1,0,1,0,0,0
710,US-PA-MDT,1,0,1,0,0,0
711,US-PA-MDT,4,0,3,1,0,1
712,US-PA-MDT,4,0,3,1,0,1
713,US-PA-MDT,2,0,2,0,0,0
716,US-PA-MDT,1,0,1,0,0,0
719,US-PA-MDT,1,0,1,0,0,0
720,US-PA-MDT,1,0,1,0,0,0
721,US-PA-MDT,2,1,1,0,0,1
722,US-PA-MDT,3,0,3,0,0,0
726,US-PA-MDT,4,1,3,0,0,1
727,US-PA-MDT,4,0,3,1,0,1
729,US-PA-MDT,1,0,1,0,0,0
